GP,PPG,FGM,FGA,FG%,3PM,3P%,ORB,DRB,APG,SPG,TOV,is_Champion,league_num
5,78.2,29.2,68.8,0.424,6.2,0.221,9.8,25.0,16.0,11.6,14.6,0.0,0
7,78.1,29.6,68.4,0.432,5.9,0.266,11.9,29.1,18.7,7.7,18.3,0.0,0
5,78.0,27.4,68.4,0.401,6.0,0.217,14.2,26.4,16.8,9.2,16.6,0.0,0
5,75.8,28.2,66.2,0.426,7.6,0.319,10.6,24.0,18.2,9.4,19.8,0.0,0
5,72.6,26.2,68.0,0.385,10.6,0.31,11.8,20.2,16.6,10.4,13.8,0.0,0
5,68.2,25.8,65.4,0.394,7.4,0.278,10.8,22.6,13.8,9.8,20.4,0.0,0
4,59.5,21.3,62.3,0.341,5.8,0.25,12.0,23.3,11.8,8.0,20.0,0.0,0
5,59.0,20.4,63.8,0.32,7.0,0.257,8.8,22.6,8.2,4.2,19.8,0.0,0
27,85.5,32.5,61.4,0.53,6.5,0.367,7.9,23.9,18.5,10.1,11.2,1.0,1
28,83.5,29.6,57.3,0.517,7.8,0.383,8.6,22.3,13.8,7.1,13.1,0.0,1
26,81.0,29.8,61.5,0.485,7.5,0.338,9.8,21.2,17.4,7.6,12.2,0.0,1
26,80.7,27.7,58.2,0.477,7.7,0.36,9.2,20.4,13.5,8.2,13.7,0.0,1
26,79.8,28.1,60.6,0.464,5.1,0.319,9.9,21.4,13.4,6.8,11.8,0.0,1
27,77.4,26.7,55.4,0.481,5.9,0.35,9.4,23.1,14.5,7.2,14.8,0.0,1
26,77.2,27.1,56.8,0.477,7.6,0.363,9.7,21.5,14.5,6.0,14.1,0.0,1
26,75.4,26.3,54.7,0.482,7.1,0.328,9.4,22.1,14.7,8.7,14.1,0.0,1
26,74.7,26.3,56.8,0.463,6.8,0.347,8.9,19.5,13.0,7.0,13.4,0.0,1
26,74.0,25.7,57.1,0.451,7.0,0.312,10.5,19.8,10.7,7.7,12.5,0.0,1
26,72.8,26.3,56.9,0.463,5.2,0.334,10.4,21.7,12.7,6.5,14.0,0.0,1
26,71.8,24.7,55.7,0.444,4.7,0.271,9.3,20.8,13.2,6.5,14.0,0.0,1
26,71.7,25.4,58.1,0.437,7.9,0.313,8.2,18.7,13.3,7.1,12.4,0.0,1
26,64.9,23.2,55.8,0.415,5.5,0.264,9.4,19.2,12.6,7.2,14.6,0.0,1
27,80.7,28.9,63.2,0.457,8.8,0.36,9.8,21.8,14.8,8.2,11.8,0.0,1
28,80.0,28.3,60.1,0.471,5.9,0.331,10.4,24.8,15.3,6.8,13.5,0.0,1
26,77.4,26.7,59.0,0.453,6.0,0.351,9.0,21.8,13.0,7.2,13.2,0.0,1
27,76.7,26.0,54.9,0.473,6.1,0.352,7.1,21.4,15.2,9.1,12.3,0.0,1
26,76.3,26.1,58.0,0.45,7.2,0.318,8.6,21.7,14.0,8.0,12.7,0.0,1
26,74.6,26.3,58.5,0.45,7.3,0.332,7.6,20.9,14.5,7.5,13.5,0.0,1
26,74.4,26.2,57.4,0.457,6.8,0.328,7.7,20.7,12.4,7.4,13.2,0.0,1
26,74.3,25.3,57.7,0.44,7.2,0.316,8.7,22.2,13.8,8.0,15.2,0.0,1
26,74.2,26.5,58.7,0.451,5.3,0.31,10.8,21.5,14.3,6.8,14.8,0.0,1
28,72.8,25.3,57.3,0.441,5.4,0.323,10.5,23.6,11.7,7.4,15.4,1.0,1
26,72.2,25.5,57.0,0.448,7.2,0.358,7.5,22.1,14.0,6.6,13.4,0.0,1
26,71.7,25.0,56.3,0.444,6.2,0.281,9.0,22.0,9.9,6.2,11.4,0.0,1
26,69.5,25.6,55.2,0.464,4.5,0.269,6.7,21.3,14.2,6.7,14.5,0.0,1
26,68.4,24.5,55.2,0.445,5.0,0.303,8.2,21.7,12.7,6.0,14.7,0.0,1
26,81.2,28.7,61.7,0.465,6.5,0.316,10.7,23.8,18.5,6.8,14.8,0.0,1
27,77.3,28.4,60.3,0.471,5.9,0.328,10.5,23.8,15.8,7.0,13.0,0.0,1
28,76.7,27.2,55.5,0.489,7.1,0.36,7.8,25.8,17.7,4.6,14.4,1.0,1
26,76.0,25.5,60.5,0.421,8.8,0.31,10.2,20.5,16.7,7.0,12.3,0.0,1
26,75.5,26.5,59.3,0.446,7.2,0.319,9.1,20.0,15.7,7.3,12.0,0.0,1
26,73.9,25.4,57.3,0.443,6.7,0.286,8.8,23.0,14.1,6.0,12.2,0.0,1
